edo_nom,mpo_nom,pob_tot,pob_acumulada,pob_tot_nal,por_pob_acumulada,mpo_incluido
Nuevo León,Pesquería,87168,81205135,119530753,67.9366,No
Quintana Roo,Cozumel,86415,81291550,119530753,68.0089,Sí
México,Tenango del Valle,86380,81377930,119530753,68.08117,Sí
Sonora,Caborca,85631,81463561,119530753,68.1528,Sí
Morelos,Ayala,85521,81549082,119530753,68.22435,Sí
México,Otzolotepec,84519,81633601,119530753,68.29506,Sí
Chiapas,Cintalapa,84455,81718056,119530753,68.36572,Sí
Guanajuato,Santa Cruz de Juventino Rosas,83060,81801116,119530753,68.43521,No
Sonora,Agua Prieta,82918,81884034,119530753,68.50457,Sí
Guanajuato,Comonfort,82572,81966606,119530753,68.57365,No
Puebla,Zacatlán,82457,82049063,119530753,68.64264,Sí
Veracruz,Las Choapas,81827,82130890,119530753,68.7111,Sí
Quintana Roo,Felipe Carrillo Puerto,81742,82212632,119530753,68.77948,Sí
Puebla,Xicotepec,81455,82294087,119530753,68.84763,Sí
Sinaloa,Salvador Alvarado,81109,82375196,119530753,68.91548,Sí
Coahuila,Frontera,80991,82456187,119530753,68.98324,No
Sonora,Huatabampo,80524,82536711,119530753,69.05061,No
Puebla,Tepeaca,80507,82617218,119530753,69.11796,Sí
Jalisco,Tala,80365,82697583,119530753,69.18519,No
Yucatán,Valladolid,80313,82777896,119530753,69.25238,Sí
Nuevo León,Linares,79853,82857749,119530753,69.31919,No
Guanajuato,Purísima del Rincón,79798,82937547,119530753,69.38595,No
Chiapas,Villa Corzo,79003,83016550,119530753,69.45204,Sí
Guanajuato,San José Iturbide,78794,83095344,119530753,69.51796,No
Tlaxcala,Apizaco,78624,83173968,119530753,69.58374,Sí
Veracruz,Emiliano Zapata,78336,83252304,119530753,69.64928,Sí
México,Tejupilco,77799,83330103,119530753,69.71436,Sí
Yucatán,Tizimín,77621,83407724,119530753,69.7793,Sí
Puebla,Izúcar de Matamoros,77601,83485325,119530753,69.844220000000007,Sí
Chiapas,Tila,77554,83562879,119530753,69.9091,Sí
Oaxaca,Heroica Ciudad de Huajuapan de León,77547,83640426,119530753,69.97398,Sí
Tlaxcala,San Pablo del Monte,77242,83717668,119530753,70.0386,Sí
México,Tianguistenco,77147,83794815,119530753,70.10314,Sí
Jalisco,Arandas,77116,83871931,119530753,70.16766,No
Puebla,Tecamachalco,77061,83948992,119530753,70.23213,Sí
Chiapas,La Trinitaria,76917,84025909,119530753,70.29648,Sí
Michoacán,Tacámbaro,76661,84102570,119530753,70.36061,Sí
Michoacán,Sahuayo,76587,84179157,119530753,70.42469,Sí
Guerrero,Coyuca de Benítez,76306,84255463,119530753,70.48852,Sí
Michoacán,Zacapu,75632,84331095,119530753,70.5518,Sí
Nayarit,Compostela,75520,84406615,119530753,70.61498,No
México,San Mateo Atenco,75511,84482126,119530753,70.67815,Sí
Veracruz,Medellín de Bravo,75346,84557472,119530753,70.74119,Sí
México,Jiquipilco,74314,84631786,119530753,70.80336,Sí
Puebla,Huejotzingo,73771,84705557,119530753,70.86507,Sí
Chiapas,Frontera Comalapa,73436,84778993,119530753,70.92651,Sí
Zacatecas,Pinos,73151,84852144,119530753,70.98771,No
Chiapas,Motozintla,72967,84925111,119530753,71.04875,Sí
Veracruz,Perote,72795,84997906,119530753,71.10965,Sí
Baja California Sur,Comondú,72564,85070470,119530753,71.17036,No
Querétaro,Tequisquiapan,70742,85141212,119530753,71.22955,No
Tlaxcala,Chiautempan,70011,85211223,119530753,71.28812,Sí
Guanajuato,Yuriria,69763,85280986,119530753,71.34648,Sí
Michoacán,Jacona,69744,85350730,119530753,71.40483,Sí
Jalisco,San Juan de los Lagos,69725,85420455,119530753,71.46316,No
Michoacán,Los Reyes,69723,85490178,119530753,71.52149,Sí
Guerrero,Ayutla de los Libres,69716,85559894,119530753,71.57982,Sí
Querétaro,Cadereyta de Montes,69549,85629443,119530753,71.638,No
Coahuila,Múzquiz,69102,85698545,119530753,71.69581,No
Morelos,Xochitepec,68984,85767529,119530753,71.75353,Sí
Veracruz,Ixtaczoquitlán,68823,85836352,119530753,71.8111,Sí
Jalisco,Zapotlanejo,68519,85904871,119530753,71.86843,No
Guanajuato,Apaseo el Alto,68455,85973326,119530753,71.9257,No
Querétaro,Pedro Escobedo,68313,86041639,119530753,71.98285,No
México,Villa Guerrero,67929,86109568,119530753,72.03968,Sí
Michoacán,Puruándiro,67644,86177212,119530753,72.09627,Sí
Guerrero,Ometepec,67641,86244853,119530753,72.15286,Sí
Nuevo León,General Zuazua,67294,86312147,119530753,72.20916,No
México,Teoloyucan,66518,86378665,119530753,72.2648,Sí
Morelos,Puente de Ixtla,66435,86445100,119530753,72.32038,Sí
México,Ocoyoacac,66190,86511290,119530753,72.37576,Sí
Veracruz,Fortín,66168,86577458,119530753,72.43112,Sí
México,Acambay de Ruíz Castañeda,66034,86643492,119530753,72.48636,Sí
Puebla,Ajalpan,65854,86709346,119530753,72.54145,Sí
México,Valle de Bravo,65703,86775049,119530753,72.59642,Sí
Veracruz,Altotonga,65548,86840597,119530753,72.65126,Sí
México,Jocotitlán,65291,86905888,119530753,72.70588,Sí
Jalisco,La Barca,65055,86970943,119530753,72.76031,No
Puebla,Acajete,65048,87035991,119530753,72.81473,Sí
Chiapas,Venustiano Carranza,65009,87101e3,119530753,72.86911,Sí
Oaxaca,Santo Domingo Tehuantepec,64639,87165639,119530753,72.92319,Sí
Guerrero,Técpan de Galeana,64577,87230216,119530753,72.97722,Sí
Veracruz,Misantla,64249,87294465,119530753,73.03097,Sí
Tamaulipas,Valle Hermoso,64188,87358653,119530753,73.08467,No
Zacatecas,Río Grande,63880,87422533,119530753,73.13811,No
México,Temascalcingo,63721,87486254,119530753,73.19142,Sí
Coahuila,Sabinas,63522,87549776,119530753,73.24456,No
Chiapas,Salto de Agua,63446,87613222,119530753,73.29764,Sí
Chihuahua,Nuevo Casas Grandes,63412,87676634,119530753,73.35069,No
Sonora,Etchojoa,63216,87739850,119530753,73.40358,No
Guanajuato,Uriangato,62761,87802611,119530753,73.45608,No
Querétaro,Colón,62667,87865278,119530753,73.50851,No
Zacatecas,Sombrerete,62433,87927711,119530753,73.56074,No
México,Atenco,62392,87990103,119530753,73.61294,Sí
Sonora,Puerto Peñasco,62177,88052280,119530753,73.66496,No
Puebla,Chignahuapan,62028,88114308,119530753,73.71685,Sí
Veracruz,Tlapacoyan,61982,88176290,119530753,73.76871,Sí
Querétaro,Amealco de Bonfil,61259,88237549,119530753,73.81996,No
Jalisco,Ameca,60951,88298500,119530753,73.87095,No
Nuevo León,Montemorelos,60829,88359329,119530753,73.92184,No
Veracruz,Huatusco,60674,88420003,119530753,73.9726,Sí
Jalisco,Autlán de Navarro,60572,88480575,119530753,74.02327,No
Tabasco,Balancán,60516,88541091,119530753,74.0739,Sí
Jalisco,Atotonilco el Alto,60480,88601571,119530753,74.1245,No
Guerrero,Atoyac de Álvarez,60382,88661953,119530753,74.17501,Sí
Baja California Sur,Mulegé,60171,88722124,119530753,74.22535,No
Guanajuato,Romita,59879,88782003,119530753,74.27545,No
Tabasco,Tenosique,59814,88841817,119530753,74.32549,Sí
Sinaloa,Escuinapa,59436,88901253,119530753,74.37521,No
Zacatecas,Jerez,59125,88960378,119530753,74.42468,No
Yucatán,Progreso,59122,89019500,119530753,74.47414,Sí
Puebla,Acatzingo,59077,89078577,119530753,74.52356,Sí
Guanajuato,Villagrán,58830,89137407,119530753,74.57278,No
Campeche,Escárcega,58553,89195960,119530753,74.62177,Sí
Tabasco,Teapa,58523,89254483,119530753,74.67073,Sí
Veracruz,Coscomatepec,58479,89312962,119530753,74.71965,Sí
Coahuila,Francisco I. Madero,58360,89371322,119530753,74.76848,No
Hidalgo,Cuautepec de Hinojosa,58301,89429623,119530753,74.81725,Sí
Veracruz,Pueblo Viejo,57646,89487269,119530753,74.86548,Sí
Veracruz,Santiago Tuxtla,57466,89544735,119530753,74.91355,Sí
Nayarit,Xalisco,57418,89602153,119530753,74.96159,No
Guerrero,Teloloapan,57377,89659530,119530753,75.00959,Sí
San Luis Potosí,Mexquitic de Carmona,57184,89716714,119530753,75.05743,No
