edo_nom,mpo_nom,pob_tot,pob_acumulada,pob_tot_nal,por_pob_acumulada,mpo_incluido
Sonora,Cajeme,433050,45102364,119530753,37.73285,Sí
Nuevo León,San Nicolás de los Garza,430143,45532507,119530753,38.09271,Sí
Ciudad de México,Venustiano Carranza,427263,45959770,119530753,38.45016,Sí
Nuevo León,General Escobedo,425148,46384918,119530753,38.80584,Sí
Ciudad de México,Benito Juárez,417416,46802334,119530753,39.15506,Sí
Ciudad de México,Xochimilco,415933,47218267,119530753,39.50303,Sí
Nayarit,Tepic,413608,47631875,119530753,39.84905,Sí
México,Nicolás Romero,410118,48041993,119530753,40.19216,Sí
Ciudad de México,Azcapotzalco,400161,48442154,119530753,40.52694,Sí
Tamaulipas,Nuevo Laredo,399431,48841585,119530753,40.8611,Sí
México,Valle de Chalco Solidaridad,396157,49237742,119530753,41.19253,Sí
Ciudad de México,Iztacalco,390348,49628090,119530753,41.5191,Sí
Morelos,Cuernavaca,366321,49994411,119530753,41.82556,Sí
Ciudad de México,Miguel Hidalgo,364439,50358850,119530753,42.13045,Sí
Ciudad de México,Tláhuac,361593,50720443,119530753,42.43297,Sí
Chiapas,Tapachula,348156,51068599,119530753,42.72423,Sí
Tamaulipas,Victoria,346029,51414628,119530753,43.01372,Sí
México,Chalco,343701,51758329,119530753,43.30127,Sí
Durango,Gómez Palacio,342286,52100615,119530753,43.58762,Sí
Michoacán,Uruapan,334749,52435364,119530753,43.86768,Sí
Nuevo León,Juárez,333481,52768845,119530753,44.14667,Sí
Puebla,Tehuacán,319375,53088220,119530753,44.41386,Sí
Veracruz,Coatzacoalcos,319187,53407407,119530753,44.68089,Sí
Tamaulipas,Tampico,314418,53721825,119530753,44.94394,Sí
San Luis Potosí,Soledad de Graciano Sánchez,309342,54031167,119530753,45.20273,Sí
Nuevo León,Santa Catarina,296954,54328121,119530753,45.45117,Sí
Sinaloa,Guasave,295353,54623474,119530753,45.69826,Sí
México,La Paz,293725,54917199,119530753,45.94399,Sí
Baja California Sur,Los Cabos,287671,55204870,119530753,46.18466,Sí
México,Coacalco de Berriozábal,284462,55489332,119530753,46.42264,Sí
Campeche,Campeche,283025,55772357,119530753,46.65942,Sí
Hidalgo,Pachuca de Soto,277375,56049732,119530753,46.89147,Sí
Jalisco,Puerto Vallarta,275640,56325372,119530753,47.12208,Sí
Guanajuato,Salamanca,273271,56598643,119530753,47.3507,Sí
Guerrero,Chilpancingo de los Bravo,273106,56871749,119530753,47.57918,Sí
Baja California Sur,La Paz,272711,57144460,119530753,47.80733,Sí
Querétaro,San Juan del Río,268408,57412868,119530753,48.03188,Sí
México,Huixquilucan,267858,57680726,119530753,48.25597,Sí
Oaxaca,Oaxaca de Juárez,264251,57944977,119530753,48.47705,Sí
Tabasco,Cárdenas,258554,58203531,119530753,48.69335,Sí
Campeche,Carmen,248303,58451834,119530753,48.90108,Sí
Nuevo León,García,247370,58699204,119530753,49.10803,Sí
Ciudad de México,La Magdalena Contreras,243886,58943090,119530753,49.31207,Sí
México,Texcoco,240749,59183839,119530753,49.51348,Sí
Tamaulipas,Altamira,235066,59418905,119530753,49.71014,Sí
Sonora,Nogales,233952,59652857,119530753,49.90587,Sí
Coahuila,Monclova,231107,59883964,119530753,50.09921,Sí
Zacatecas,Fresnillo,230865,60114829,119530753,50.29235,Sí
México,Metepec,227827,60342656,119530753,50.48295,Sí
Quintana Roo,Othón P. Blanco,224080,60566736,119530753,50.67042,Sí
Chiapas,Ocosingo,218893,60785629,119530753,50.85355,Sí
Veracruz,Córdoba,218153,61003782,119530753,51.03606,Sí
Morelos,Jiutepec,214137,61217919,119530753,51.2152,Sí
Quintana Roo,Solidaridad,209634,61427553,119530753,51.39058,Sí
Chiapas,San Cristóbal de las Casas,209591,61637144,119530753,51.56593,Sí
Tamaulipas,Ciudad Madero,209175,61846319,119530753,51.74093,Sí
México,Chicoloapan,204107,62050426,119530753,51.91168,Sí
Tabasco,Comalcalco,201654,62252080,119530753,52.08039,Sí
Veracruz,Poza Rica de Hidalgo,200119,62452199,119530753,52.24781,Sí
Ciudad de México,Cuajimalpa de Morelos,199224,62651423,119530753,52.41448,Sí
México,Zumpango,199069,62850492,119530753,52.58102,Sí
Michoacán,Zamora,196208,63046700,119530753,52.74517,Sí
Morelos,Cuautla,194786,63241486,119530753,52.90813,Sí
Sonora,San Luis Río Colorado,192739,63434225,119530753,53.06938,Sí
Guanajuato,Silao de la Victoria,189567,63623792,119530753,53.22797,Sí
México,Zinacantepec,188927,63812719,119530753,53.38603,Sí
Tabasco,Huimanguillo,188792,64001511,119530753,53.54397,Sí
Zacatecas,Guadalupe,187918,64189429,119530753,53.70118,Sí
Colima,Manzanillo,184541,64373970,119530753,53.85557,Sí
Guanajuato,Guanajuato,184239,64558209,119530753,54.00971,Sí
Jalisco,El Salto,183437,64741646,119530753,54.16317,Sí
Michoacán,Lázaro Cárdenas,183185,64924831,119530753,54.31642,Sí
Querétaro,Corregidora,181684,65106515,119530753,54.46842,Sí
San Luis Potosí,Ciudad Valles,177022,65283537,119530753,54.61652,Sí
México,Almoloya de Juárez,176237,65459774,119530753,54.76396,Sí
Guanajuato,San Miguel de Allende,171857,65631631,119530753,54.90774,Sí
Chihuahua,Cuauhtémoc,168482,65800113,119530753,55.04869,Sí
Tabasco,Macuspana,165729,65965842,119530753,55.18734,Sí
Jalisco,Lagos de Moreno,164981,66130823,119530753,55.32536,Sí
Veracruz,San Andrés Tuxtla,164834,66295657,119530753,55.46326,Sí
Michoacán,Zitácuaro,164144,66459801,119530753,55.60059,Sí
Sonora,Navojoa,163650,66623451,119530753,55.7375,Sí
Coahuila,Piedras Negras,163595,66787046,119530753,55.87436,Sí
Oaxaca,San Juan Bautista Tuxtepec,162511,66949557,119530753,56.01032,Sí
Veracruz,Tuxpan,161829,67111386,119530753,56.14571,Sí
Veracruz,Papantla,161097,67272483,119530753,56.28048,Sí
Hidalgo,Tulancingo de Bravo,161069,67433552,119530753,56.41523,Sí
Sonora,Guaymas,158046,67591598,119530753,56.54745,Sí
Veracruz,Minatitlán,157393,67748991,119530753,56.67913,Sí
Querétaro,El Marqués,156275,67905266,119530753,56.80987,Sí
Sinaloa,Navolato,154352,68059618,119530753,56.939,Sí
Chiapas,Comitán de Domínguez,153448,68213066,119530753,57.06738,Sí
Durango,Lerdo,153311,68366377,119530753,57.19564,Sí
México,Ixtlahuaca,153184,68519561,119530753,57.32379,Sí
México,Acolman,152506,68672067,119530753,57.45138,Sí
Guanajuato,Dolores Hidalgo Cuna de la Independencia Nacional,152113,68824180,119530753,57.57864,Sí
Puebla,San Martín Texmelucan,152051,68976231,119530753,57.70584,Sí
Guerrero,Iguala de la Independencia,151660,69127891,119530753,57.83272,Sí
Colima,Colima,150673,69278564,119530753,57.95878,Sí
Guanajuato,Pénjamo,150570,69429134,119530753,58.08475,Sí
Nayarit,Bahía de Banderas,150250,69579384,119530753,58.21045,Sí
México,Tultepec,150182,69729566,119530753,58.33609,Sí
Hidalgo,Mineral de la Reforma,150176,69879742,119530753,58.46173,Sí
México,Cuautitlán,149550,70029292,119530753,58.58684,Sí
Chihuahua,Delicias,148045,70177337,119530753,58.7107,Sí
Coahuila,Acuña,147809,70325146,119530753,58.83435,Sí
México,Lerma,146654,70471800,119530753,58.95705,Sí
Zacatecas,Zacatecas,146147,70617947,119530753,59.07931,Sí
Guanajuato,Valle de Santiago,142672,70760619,119530753,59.19867,Sí
Veracruz,Boca del Río,142207,70902826,119530753,59.31764,Sí
Jalisco,Tepatitlán de Morelos,141322,71044148,119530753,59.43587,Sí
Tabasco,Cunduacán,138504,71182652,119530753,59.55175,Sí
Tabasco,Nacajuca,138366,71321018,119530753,59.6675,Sí
